model,model_id,site,method,seed,sequence,nll,tokens_scored,rotation_only_nll,weight_fold_max_relative_error
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,54,1.8862825632095337,2047,1.8183245658874512,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,55,2.036499500274658,2047,1.9758280515670776,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,56,1.813768982887268,2047,1.8245000839233398,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,57,1.6300406455993652,2047,1.6404577493667603,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,58,2.049388885498047,2047,2.008650779724121,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,59,1.9884209632873535,2047,1.9401181936264038,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,60,2.2623496055603027,2047,2.199547529220581,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,61,2.4259777069091797,2047,2.3946890830993652,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,62,2.4683663845062256,2047,2.430326223373413,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,63,2.7797272205352783,2047,2.650061845779419,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,64,2.04750657081604,2047,2.0109472274780273,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,65,1.9668715000152588,2047,1.9355194568634033,0.0
